customer_id,signup_month,transaction_date,corridor,amount,fee_revenue
CUST00001,2024-07-01,2024-07-10,Nigeria,197.07,7.84
CUST00001,2024-07-01,2024-07-17,Nigeria,182.31,7.27
CUST00001,2024-07-01,2024-08-11,Nigeria,186.05,7.92
CUST00001,2024-07-01,2024-08-21,Nigeria,179.51,6.56
CUST00001,2024-07-01,2024-08-22,Nigeria,102.69,3.92
CUST00001,2024-07-01,2024-09-22,Nigeria,261.55,9.7
CUST00001,2024-07-01,2024-09-25,Nigeria,234.68,8.92
CUST00001,2024-07-01,2024-10-02,Nigeria,211.06,7.74
CUST00001,2024-07-01,2024-10-04,Nigeria,136.46,5.75
CUST00001,2024-07-01,2024-10-26,Nigeria,125.01,4.92
CUST00001,2024-07-01,2024-11-05,Nigeria,161.73,6.45
CUST00001,2024-07-01,2024-11-13,Nigeria,187.32,6.98
CUST00001,2024-07-01,2024-11-22,Nigeria,304.88,13.26
CUST00001,2024-07-01,2024-11-26,Nigeria,145.46,5.81
CUST00001,2024-07-01,2025-01-01,Nigeria,298.5,11.78
CUST00001,2024-07-01,2025-02-02,Nigeria,177.16,6.52
CUST00001,2024-07-01,2025-02-05,Nigeria,100.84,4.07
CUST00001,2024-07-01,2025-02-24,Nigeria,166.43,7.0
CUST00002,2024-11-01,2024-11-19,Nigeria,177.63,7.62
CUST00002,2024-11-01,2024-11-21,Nigeria,188.03,7.87
CUST00002,2024-11-01,2024-11-26,Nigeria,229.11,8.31
CUST00002,2024-11-01,2024-12-13,Nigeria,193.33,7.49
CUST00002,2024-11-01,2024-12-24,Nigeria,220.89,8.36
CUST00002,2024-11-01,2025-02-13,Nigeria,99.03,3.58
CUST00002,2024-11-01,2025-02-18,Nigeria,151.28,6.08
CUST00002,2024-11-01,2025-04-17,Nigeria,215.13,8.44
CUST00002,2024-11-01,2025-04-17,Nigeria,54.89,2.02
CUST00002,2024-11-01,2025-04-21,Nigeria,335.86,12.82
CUST00002,2024-11-01,2025-04-25,Nigeria,140.98,5.94
CUST00002,2024-11-01,2025-04-25,Nigeria,197.22,8.26
CUST00002,2024-11-01,2025-05-05,Nigeria,177.92,6.95
CUST00003,2024-05-01,2024-05-06,India,408.11,7.83
CUST00003,2024-05-01,2024-05-14,India,479.79,9.22
CUST00003,2024-05-01,2024-07-19,India,404.91,7.1
CUST00003,2024-05-01,2025-04-15,India,493.45,7.83
CUST00003,2024-05-01,2025-04-24,India,369.55,6.63
CUST00004,2024-03-01,2024-03-09,India,371.72,7.07
CUST00004,2024-03-01,2024-04-06,India,357.49,5.96
CUST00004,2024-03-01,2024-05-16,India,317.89,5.95
CUST00004,2024-03-01,2024-06-08,India,183.27,3.45
CUST00004,2024-03-01,2024-06-24,India,406.85,7.35
CUST00004,2024-03-01,2025-05-11,India,407.56,6.42
CUST00004,2024-03-01,2025-05-23,India,435.51,6.87
CUST00005,2024-11-01,2024-11-13,Nigeria,170.85,6.99
CUST00005,2024-11-01,2025-01-24,Nigeria,166.73,6.38
CUST00005,2024-11-01,2025-02-15,Nigeria,191.38,8.32
CUST00005,2024-11-01,2025-02-22,Nigeria,190.53,6.96
CUST00005,2024-11-01,2025-03-10,Nigeria,204.51,8.14
CUST00006,2024-04-01,2024-04-12,India,364.28,6.72
CUST00006,2024-04-01,2024-04-26,India,135.77,2.14
CUST00006,2024-04-01,2024-05-09,India,432.8,7.87
CUST00006,2024-04-01,2024-05-20,India,319.75,5.98
CUST00006,2024-04-01,2024-07-06,India,312.0,5.17
CUST00006,2024-04-01,2024-07-21,India,158.39,2.67
CUST00006,2024-04-01,2024-10-12,India,82.24,1.3
CUST00006,2024-04-01,2024-10-17,India,575.18,9.1
CUST00006,2024-04-01,2024-10-26,India,529.9,9.24
CUST00006,2024-04-01,2025-03-24,India,438.97,7.58
CUST00006,2024-04-01,2025-05-01,India,471.25,8.99
CUST00006,2024-04-01,2025-05-15,India,189.93,3.45
CUST00007,2024-03-01,2024-03-12,India,668.24,12.17
CUST00007,2024-03-01,2024-05-13,India,377.29,6.05
CUST00007,2024-03-01,2024-07-17,India,448.71,8.56
CUST00007,2024-03-01,2024-07-26,India,311.46,5.09
CUST00007,2024-03-01,2024-08-09,India,463.79,8.46
CUST00007,2024-03-01,2024-08-20,India,427.22,7.24
CUST00007,2024-03-01,2024-08-27,India,633.89,11.21
CUST00007,2024-03-01,2024-12-12,India,355.37,5.8
CUST00007,2024-03-01,2024-12-13,India,193.09,3.36
CUST00007,2024-03-01,2025-05-24,India,506.52,9.71
CUST00008,2024-02-01,2024-02-15,Nigeria,164.56,7.07
CUST00008,2024-02-01,2024-03-12,Nigeria,79.88,3.37
CUST00008,2024-02-01,2024-03-24,Nigeria,237.14,9.65
CUST00008,2024-02-01,2024-04-04,Nigeria,356.77,14.05
CUST00008,2024-02-01,2024-04-10,Nigeria,103.37,4.11
CUST00008,2024-02-01,2024-06-14,Nigeria,87.07,3.81
CUST00008,2024-02-01,2024-06-22,Nigeria,171.48,7.37
CUST00008,2024-02-01,2024-06-23,Nigeria,137.78,5.44
CUST00008,2024-02-01,2024-07-03,Nigeria,244.38,10.08
CUST00008,2024-02-01,2024-07-06,Nigeria,100.5,3.94
CUST00008,2024-02-01,2024-08-13,Nigeria,133.98,5.77
CUST00008,2024-02-01,2024-09-12,Nigeria,134.39,5.73
CUST00008,2024-02-01,2024-10-01,Nigeria,135.48,5.29
CUST00008,2024-02-01,2024-12-09,Nigeria,182.65,7.35
CUST00008,2024-02-01,2024-12-12,Nigeria,149.01,6.54
CUST00008,2024-02-01,2024-12-15,Nigeria,101.72,4.37
CUST00008,2024-02-01,2025-05-10,Nigeria,151.14,6.27
CUST00008,2024-02-01,2025-06-11,Nigeria,32.69,1.3
CUST00008,2024-02-01,2025-06-12,Nigeria,116.07,4.3
CUST00008,2024-02-01,2025-06-20,Nigeria,185.51,7.72
CUST00009,2024-06-01,2024-06-08,India,324.99,6.21
CUST00009,2024-06-01,2024-06-15,India,308.74,5.61
CUST00009,2024-06-01,2024-07-01,India,454.16,8.47
CUST00009,2024-06-01,2024-07-08,India,424.81,6.86
CUST00009,2024-06-01,2024-07-25,India,440.84,8.01
CUST00009,2024-06-01,2024-08-02,India,396.92,7.64
CUST00009,2024-06-01,2024-09-06,India,340.8,5.76
CUST00009,2024-06-01,2024-09-06,India,488.18,9.19
CUST00009,2024-06-01,2024-09-13,India,307.48,5.54
CUST00009,2024-06-01,2024-10-07,India,363.34,5.73
CUST00009,2024-06-01,2024-10-15,India,540.57,9.58
CUST00009,2024-06-01,2024-11-03,India,570.36,9.44
CUST00009,2024-06-01,2024-11-26,India,237.38,4.27
CUST00009,2024-06-01,2025-01-05,India,417.45,7.16
CUST00009,2024-06-01,2025-01-05,India,362.0,6.2
CUST00009,2024-06-01,2025-01-11,India,598.49,9.44
CUST00009,2024-06-01,2025-01-18,India,401.53,7.48
CUST00009,2024-06-01,2025-01-23,India,183.88,3.42
CUST00009,2024-06-01,2025-04-21,India,212.3,3.47
CUST00010,2024-12-01,2024-12-12,India,353.04,5.78
CUST00010,2024-12-01,2024-12-13,India,262.1,4.29
CUST00010,2024-12-01,2024-12-18,India,368.57,6.32
CUST00010,2024-12-01,2025-01-10,India,281.29,5.23
CUST00010,2024-12-01,2025-02-13,India,361.96,6.46
CUST00011,2024-12-01,2024-12-05,Nigeria,244.19,10.45
CUST00011,2024-12-01,2024-12-07,Nigeria,125.22,5.18
CUST00011,2024-12-01,2024-12-18,Nigeria,145.93,5.75
CUST00011,2024-12-01,2025-01-16,Nigeria,116.2,4.37
CUST00011,2024-12-01,2025-01-21,Nigeria,205.93,7.57
CUST00011,2024-12-01,2025-02-25,Nigeria,135.6,5.42
CUST00011,2024-12-01,2025-04-06,Nigeria,148.81,6.05
CUST00011,2024-12-01,2025-04-07,Nigeria,242.56,9.9
CUST00011,2024-12-01,2025-06-02,Nigeria,86.91,3.59
